case_id	window_id	measure_index	evidence_id	record_type	record_id	onset_qn	duration_qn	voice_id	detail
CASE-VT57	W1	0	E001	measure			4		meter=4/4;key_fifths=2;barlines=none|regular;volta=none
CASE-VT57	W1	0	E001	note	EV0001	0	2	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0002	0	1/2	V02	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0003	1/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0004	1	1/2	V02	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0005	3/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0006	2	1	V01	pitch=F#5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0007	2	1/2	V02	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0008	5/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0009	3	1	V01	pitch=A5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0010	3	1/2	V02	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	0	E001	note	EV0011	7/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	measure			4		meter=4/4;key_fifths=2;barlines=regular|regular;volta=none
CASE-VT57	W1	1	E002	note	EV0012	0	3/2	V01	pitch=C#5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0013	0	1/2	V02	pitch=E4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0014	1/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0015	1	1/2	V02	pitch=G4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0016	3/2	1/4	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0017	3/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0018	7/4	1/4	V01	pitch=E5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0019	2	1	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0020	2	1/2	V02	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0021	5/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	rest	EV0022	3	1	V01	articulations=
CASE-VT57	W1	1	E002	note	EV0023	3	1/2	V02	pitch=F#4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	1	E002	note	EV0024	7/2	1/2	V02	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	measure			4		meter=4/4;key_fifths=2;barlines=regular|regular;volta=none
CASE-VT57	W1	2	E003	note	EV0025	0	2	V01	pitch=B5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	note	EV0026	0	1/2	V02	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	note	EV0027	1/2	1/2	V02	pitch=B4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	note	EV0028	1	1/2	V02	pitch=G4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	note	EV0029	3/2	1/2	V02	pitch=B4;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	note	EV0030	2	1	V01	pitch=A5;tie=none;grace=none;articulations=;ornaments=
CASE-VT57	W1	2	E003	note	EV0031	2	1/2	V02	pitch=D4;tie=none;grace=none;articulations=;ornaments=
